Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1743127211445,4442.559432983398,3600,1,1.11875,287.93035888671875,3600,1,1.11875,4334.690521240234,3600,1,1.11875,846.6817626953125,3000,1,1.11875,273.3312530517578,3000,1,1.11875,7017.332275390625,3725,0,1.11875,17078.628189086914,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,0,0,0,100,0,0,0,0,4.761904716491699,0,0,0,33574961152,17179865088,4208025600,0
199,1743127211645,4442.561599731445,3600,1,1.1625,287.9317626953125,3600,1,1.1625,4334.696838378906,3600,1,1.1625,846.7354125976563,3000,1,1.1625,273.3930969238281,3725,1,1.1625,7018.267395019531,3750,0,1.13125,17083.845947265625,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,0,0,0,100,0,0,0,4.761904716491699,0,0,0,0,33574961152,17179865088,4216066048,0
199,1743127211845,4442.562057495117,3000,1,1.125,287.9339904785156,3000,1,1.125,4334.700500488281,3750,0,1.125,846.7859802246094,3000,1,1.125,273.4418029785156,3000,1,1.125,7019.188674926758,3750,0,1.125,17089.058883666992,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4232511488,0
199,1743127212045,4442.56217956543,2880,1,1.125,287.9371643066406,3000,1,1.125,4334.703552246094,3750,0,1.125,846.8317108154297,3750,0,1.125,273.4718017578125,3000,1,1.125,7020.055953979492,3750,0,1.125,17094.20669555664,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4240285696,0
199,1743127212245,4442.569519042969,3000,1,1.31875,287.93751525878906,3000,1,1.31875,4334.709991455078,3750,0,1.31875,846.8927612304688,3220.0000000000005,1,1.31875,273.4726257324219,3220.0000000000005,1,1.31875,7021.127471923828,4025,0,1.31875,17099.582244873047,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4241178624,0
199,1743127212445,4442.595367431641,3000,1,1.45,287.98243713378906,3000,1,1.45,4334.917007446289,3750,0,1.45,847.0484924316406,3340,1,1.45,273.48500061035156,3320.0000000000005,1,1.45,7023.030822753906,4150,0,1.45,17106.558975219727,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,4.761904716491699,4.761904716491699,0,55,5.263157844543457,0,0,30.000001907348633,0,0,0,0,33574961152,17179865088,4245979136,0
199,1743127212645,4442.863540649414,3750,0,1.45,287.985595703125,3000,1,1.45,4335.004333496094,3750,0,1.45,847.1606292724609,3320.0000000000005,1,1.45,273.48875427246094,3320.0000000000005,1,1.45,7024.409042358398,4150,0,1.45,17112.994171142578,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,38.095237731933594,0,0,50,0,0,0,20,0,0,0,0,33574961152,17179865088,4245970944,0
199,1743127212845,4443.0836181640625,3750,0,1.4,288.1933898925781,3750,0,1.4,4335.27702331543,3750,0,1.4,847.3554077148438,3279.9999999999995,1,1.4,273.5289764404297,3279.9999999999995,1,1.4,7026.178451538086,4100,0,1.4,17120.441635131836,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,0,0,0,75,10,0,5,0,0,5.263157844543457,0,0,33574961152,17179865088,4246999040,0
199,1743127213045,4443.4378662109375,3750,0,1.4375,288.4995880126953,3750,0,1.4375,4335.425720214844,3750,0,1.4375,847.5546417236328,3320.0000000000005,1,1.4375,273.6264190673828,3320.0000000000005,1,1.4375,7027.830078125,4150,0,1.4375,17127.89013671875,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,0,0,0,45,0,0,4.761904716491699,25,10,5,0,4.761904716491699,33574961152,17179865088,4246999040,0
199,1743127213246,4443.728942871094,3750,0,1.4375,288.7935791015625,3750,0,1.4375,4335.6153564453125,3750,0,1.4375,847.7771606445313,3300,1,1.4375,273.8007049560547,3300,1,1.4375,7029.559799194336,4125,0,1.4375,17135.636459350586,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,5,10,4.761904716491699,75,4.761904716491699,0,0,0,5,0,0,5,33574961152,17179865088,4247515136,0
