Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743127071389,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.106056213378906,59.25869369506836,62.85761260986328,62.9301872253418,64.05928039550781,68.87774658203125,58.70817947387695,58.92753219604492,59.018917083740234,61.19422149658203,100,100,100,0,0,0,0,0,0,0,11.976576805114746,17179869184,2147483648,11343740928,330760192
209,1743127071389,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.106056213378906,59.25869369506836,62.85761260986328,62.9301872253418,64.05928039550781,68.87774658203125,58.70817947387695,58.92753219604492,59.018917083740234,61.19422149658203,100,0,100,NaN,0,NaN,0,0,0,0,11.976576805114746,17179869184,2147483648,11345608704,330760192
209,1743127071600,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.106056213378906,59.25869369506836,62.85761260986328,62.9301872253418,64.05928039550781,68.87774658203125,58.70817947387695,58.92753219604492,59.018917083740234,61.19422149658203,9.523809432983398,5,57.142860412597656,45.45454788208008,0,0,0,0,0,0,11.976576805114746,17179869184,2147483648,11337924608,330760192
201,1743127071810,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.106056213378906,59.25869369506836,62.85761260986328,62.9301872253418,64.05928039550781,68.87774658203125,58.70817947387695,58.92753219604492,59.018917083740234,61.19422149658203,4.761904716491699,4.545454502105713,23.809524536132813,76.19047546386719,0,0,0,0,0,0,12.211845397949219,17179869184,2147483648,11337793536,330760192
201,1743127072011,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.106056213378906,59.25869369506836,62.85761260986328,62.9301872253418,64.05928039550781,68.87774658203125,58.70817947387695,58.92753219604492,59.018917083740234,61.19422149658203,15.789472579956055,25,52.6315803527832,50,5,4.761904716491699,0,0,0,0,12.211845397949219,17179869184,2147483648,11343134720,330760192
201,1743127072213,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.106056213378906,59.25869369506836,62.85761260986328,62.9301872253418,64.05928039550781,68.87774658203125,58.70817947387695,58.92753219604492,59.018917083740234,61.19422149658203,19.047618865966797,15.000000953674316,33.333335876464844,75,0,0,0,0,0,0,12.211845397949219,17179869184,2147483648,11350360064,330760192
209,1743127072415,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.74629592895508,59.02071762084961,67.08976745605469,67.94490814208984,61.093101501464844,61.37800216674805,59.15532684326172,59.81877899169922,57.994422912597656,59.421302795410156,5,5,57.142860412597656,38.095237731933594,0,14.285715103149414,0,0,0,0,12.211845397949219,17179869184,2147483648,11350360064,330760192
200,1743127072625,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.74629592895508,59.02071762084961,67.08976745605469,67.94490814208984,61.093101501464844,61.37800216674805,59.15532684326172,59.81877899169922,57.994422912597656,59.421302795410156,4.761904716491699,9.090909004211426,33.333335876464844,50,0,14.285715103149414,0,0,0,0,12.211845397949219,17179869184,2147483648,11350556672,330760192
201,1743127072826,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.74629592895508,59.02071762084961,67.08976745605469,67.94490814208984,61.093101501464844,61.37800216674805,59.15532684326172,59.81877899169922,57.994422912597656,59.421302795410156,0,0,63.15789031982422,45,9.090909004211426,0,0,0,0,0,12.901902198791504,17179869184,2147483648,11350507520,330760192
201,1743127073028,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.74629592895508,59.02071762084961,67.08976745605469,67.94490814208984,61.093101501464844,61.37800216674805,59.15532684326172,59.81877899169922,57.994422912597656,59.421302795410156,19.047618865966797,14.285715103149414,38.095237731933594,57.142860412597656,5.263157844543457,25,0,0,0,0,12.901902198791504,17179869184,2147483648,11350589440,330760192
