iteration,energy_consumption_joules,execution_time_seconds,watts
0,12037.625139711365,938.45557,12.827059185882785
1,12029.701240021703,939.70544,12.801566031182817
2,11946.031014062894,940.4871,12.701961583590984
3,11941.99662319371,938.4387,12.725388054855058
4,11923.368822130149,939.0567,12.697176669023445
5,11933.937896515816,939.1511,12.707154255066959
6,12022.21056452178,939.81946,12.79204259562978
7,11877.964569615395,937.9488,12.663766475969044
8,11989.277383724186,940.03503,12.754075115396695
9,11879.732756336216,937.8396,12.667126400224745
10,11853.010958662962,937.15436,12.64787474142783
11,11970.597393823613,937.7537,12.765182791412727
12,11855.517959237142,937.7803,12.642106002053085
13,11861.925456801424,938.2376,12.642773490213377
