iteration,energy_consumption_joules,execution_time_seconds,watts
0,9430.863271532966,713.1235,13.224726532687487
1,9515.627673311263,712.8496,13.348717139367494
2,9445.645599610294,714.61914,13.217733854162224
3,9589.918906236646,714.156,13.42832505256085
4,9444.899183276179,714.55853,13.21781041963935
5,9596.607806616781,712.86615,13.46200518374562
6,9415.962033903137,712.78455,13.210109610124318
7,9937.172172875367,714.38434,13.910120388242788
8,9480.464513395042,714.1759,13.2746911697735
9,9479.721896860137,713.32794,13.2894302399821
10,9468.520352882348,713.53625,13.269851886126805
11,9392.98303668215,713.98914,13.155638525093183
12,9359.007150882679,713.1145,13.124129646617309
13,9471.952190063486,712.8915,13.286667312015204
