iteration,energy_consumption_joules,execution_time_seconds,watts
0,11975.960435672761,938.0532,12.766824350338299
1,11954.870580949788,939.1811,12.729036584051562
2,11984.000654206297,940.53217,12.74172328864232
3,11983.747729461653,939.38336,12.75703641318668
4,12107.446267601003,938.98615,12.894169171292893
5,11969.511390520081,938.3316,12.756163589204586
6,11965.839290167789,941.4746,12.709678296331933
7,11805.906426537522,936.9271,12.600667038596196
8,11864.130482995011,937.996,12.648380678590327
9,11936.374304921183,937.57043,12.73117615806333
10,11874.359897741328,938.4855,12.652683390144363
11,11874.483790225955,938.9154,12.647022074859946
12,11852.025126587852,938.46405,12.62917330353555
13,11841.312067971701,938.0664,12.623106496482233
