Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743385865752,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.457706451416016,58.60342788696289,64.00507354736328,64.0318374633789,61.66973876953125,61.19337463378906,58.70365524291992,59.62313461303711,57.963138580322266,59.44703674316406,50,NaN,0,100,0,0,0,0,0,0,13.280421257019043,17179869184,2147483648,10070917120,494796800
209,1743385865753,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.457706451416016,58.60342788696289,64.00507354736328,64.0318374633789,61.66973876953125,61.19337463378906,58.70365524291992,59.62313461303711,57.963138580322266,59.44703674316406,NaN,0,0,100,0,0,0,NaN,NaN,0,13.280421257019043,17179869184,2147483648,10071703552,494796800
201,1743385865963,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.457706451416016,58.60342788696289,64.00507354736328,64.0318374633789,61.66973876953125,61.19337463378906,58.70365524291992,59.62313461303711,57.963138580322266,59.44703674316406,9.090909004211426,9.090909004211426,0,100,0,0,0,0,0,0,13.280421257019043,17179869184,2147483648,10071687168,494796800
200,1743385866165,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.13471984863281,58.82684326171875,64.35670471191406,66.29830169677734,62.12202453613281,61.6672477722168,59.515106201171875,60.4100341796875,57.938087463378906,59.5369873046875,0,0,35,71.42857360839844,0,0,0,0,0,0,13.280421257019043,17179869184,2147483648,10071801856,494796800
199,1743385866366,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.13471984863281,58.82684326171875,64.35670471191406,66.29830169677734,62.12202453613281,61.6672477722168,59.515106201171875,60.4100341796875,57.938087463378906,59.5369873046875,10,5,4.761904716491699,42.85714340209961,55,0,0,0,0,0,13.280421257019043,17179869184,2147483648,10071932928,494796800
205,1743385866566,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.13471984863281,58.82684326171875,64.35670471191406,66.29830169677734,62.12202453613281,61.6672477722168,59.515106201171875,60.4100341796875,57.938087463378906,59.5369873046875,19.047618865966797,19.047618865966797,5.263157844543457,15.000000953674316,85,10,0,0,0,0,13.280421257019043,17179869184,2147483648,10071965696,494796800
204,1743385866772,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.13471984863281,58.82684326171875,64.35670471191406,66.29830169677734,62.12202453613281,61.6672477722168,59.515106201171875,60.4100341796875,57.938087463378906,59.5369873046875,0,9.523809432983398,42.85714340209961,55,5,0,0,0,0,0,13.478863716125488,17179869184,2147483648,10071965696,494796800
203,1743385866976,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.13471984863281,58.82684326171875,64.35670471191406,66.29830169677734,62.12202453613281,61.6672477722168,59.515106201171875,60.4100341796875,57.938087463378906,59.5369873046875,50,50,60.000003814697266,45,0,0,0,0,0,0,13.478863716125488,17179869184,2147483648,10084761600,494796800
202,1743385867180,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.887107849121094,58.65769577026367,64.7865982055664,65.03951263427734,64.11203002929688,62.29487228393555,58.754669189453125,59.848907470703125,57.60985565185547,59.250030517578125,52.6315803527832,80,38.095237731933594,80,10,10,5,5,0,0,13.478863716125488,17179869184,2147483648,10115284992,494796800
199,1743385867383,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.887107849121094,58.65769577026367,64.7865982055664,65.03951263427734,64.11203002929688,62.29487228393555,58.754669189453125,59.848907470703125,57.60985565185547,59.250030517578125,23.809524536132813,31.57894515991211,57.894737243652344,50,0,0,0,0,0,0,13.478863716125488,17179869184,2147483648,10066165760,494796800
