Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743489496606,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.49669647216797,58.600563049316406,63.60459899902344,62.249752044677734,61.115684509277344,60.81575012207031,58.54770278930664,59.74410629272461,57.180938720703125,58.34904479980469,NaN,0,100,0,NaN,0,0,0,0,0,12.688076972961426,17179869184,2147483648,9201188864,577437696
209,1743489496606,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.43356704711914,58.42393493652344,63.60459899902344,62.249752044677734,62.15886688232422,61.659423828125,58.096012115478516,58.80443572998047,57.23764419555664,58.47508239746094,0,0,100,0,0,NaN,NaN,0,0,0,12.688076972961426,17179869184,2147483648,9201188864,577437696
209,1743489496817,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.43356704711914,58.42393493652344,63.60459899902344,62.249752044677734,62.15886688232422,61.659423828125,58.096012115478516,58.80443572998047,57.23764419555664,58.47508239746094,9.090909004211426,4.761904716491699,100,0,0,4.545454502105713,0,0,0,0,12.688076972961426,17179869184,2147483648,9201188864,577437696
201,1743489497027,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.43356704711914,58.42393493652344,63.60459899902344,62.249752044677734,62.15886688232422,61.659423828125,58.096012115478516,58.80443572998047,57.23764419555664,58.47508239746094,0,4.761904716491699,30.000001907348633,71.42857360839844,0,0,0,0,0,0,12.688076972961426,17179869184,2147483648,9202024448,577437696
208,1743489497229,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.43356704711914,58.42393493652344,63.60459899902344,62.249752044677734,62.15886688232422,61.659423828125,58.096012115478516,58.80443572998047,57.23764419555664,58.47508239746094,4.761904716491699,0,4.761904716491699,80.95238494873047,10,10,4.545454502105713,0,0,0,11.280232429504395,17179869184,2147483648,9201844224,577437696
200,1743489497438,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.43356704711914,58.42393493652344,63.60459899902344,62.249752044677734,62.15886688232422,61.659423828125,58.096012115478516,58.80443572998047,57.23764419555664,58.47508239746094,15.000000953674316,22.72727394104004,0,0,100,0,0,0,0,0,11.280232429504395,17179869184,2147483648,9201876992,577437696
209,1743489497640,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.017662048339844,58.20485305786133,64.04243469238281,64.05961608886719,63.66487121582031,62.184879302978516,58.342193603515625,59.55422592163086,57.30403137207031,58.462005615234375,9.523809432983398,5,0,0,100,0,0,0,0,0,11.280232429504395,17179869184,2147483648,9201664000,577437696
209,1743489497849,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.017662048339844,58.20485305786133,64.04243469238281,64.05961608886719,63.66487121582031,62.184879302978516,58.342193603515625,59.55422592163086,57.30403137207031,58.462005615234375,25,27.272727966308594,0,4.545454502105713,100,0,0,0,0,0,11.280232429504395,17179869184,2147483648,9206415360,577437696
200,1743489498060,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.017662048339844,58.20485305786133,64.04243469238281,64.05961608886719,63.66487121582031,62.184879302978516,58.342193603515625,59.55422592163086,57.30403137207031,58.462005615234375,47.619049072265625,50,28.571430206298828,5,85.71428680419922,4.761904716491699,4.545454502105713,0,0,0,13.310802459716797,17179869184,2147483648,9243787264,577437696
209,1743489498261,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.017662048339844,58.20485305786133,64.04243469238281,64.05961608886719,63.66487121582031,62.184879302978516,58.342193603515625,59.55422592163086,57.30403137207031,58.462005615234375,9.523809432983398,9.523809432983398,0,100,4.761904716491699,0,0,0,0,0,13.310802459716797,17179869184,2147483648,9243787264,577437696
201,1743489498471,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.017662048339844,58.20485305786133,64.04243469238281,64.05961608886719,63.66487121582031,62.184879302978516,58.342193603515625,59.55422592163086,57.30403137207031,58.462005615234375,4.761904716491699,0,9.090909004211426,90.47618865966797,4.545454502105713,0,0,0,0,0,13.310802459716797,17179869184,2147483648,9243787264,577437696
200,1743489498673,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.41288375854492,58.465171813964844,63.34217071533203,65.3864974975586,65.05203247070313,62.795806884765625,58.43846893310547,59.74154281616211,57.4370002746582,58.751609802246094,5,4.761904716491699,61.904762268066406,35,0,4.761904716491699,5,0,0,0,13.310802459716797,17179869184,2147483648,9243787264,577437696
205,1743489498874,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.41288375854492,58.465171813964844,63.34217071533203,65.3864974975586,65.05203247070313,62.795806884765625,58.43846893310547,59.74154281616211,57.4370002746582,58.751609802246094,0,5,100,0,0,0,0,0,0,0,13.310802459716797,17179869184,2147483648,9243787264,577437696
204,1743489499079,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.41288375854492,58.465171813964844,63.34217071533203,65.3864974975586,65.05203247070313,62.795806884765625,58.43846893310547,59.74154281616211,57.4370002746582,58.751609802246094,4.761904716491699,0,70,33.333335876464844,0,0,0,0,0,0,12.8399658203125,17179869184,2147483648,9243607040,577437696
204,1743489499284,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.41288375854492,58.465171813964844,63.34217071533203,65.3864974975586,65.05203247070313,62.795806884765625,58.43846893310547,59.74154281616211,57.4370002746582,58.751609802246094,4.761904716491699,4.761904716491699,66.66667175292969,19.047618865966797,19.047618865966797,0,0,0,0,0,12.8399658203125,17179869184,2147483648,9243607040,577437696
207,1743489499489,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.41288375854492,58.465171813964844,63.34217071533203,65.3864974975586,65.05203247070313,62.795806884765625,58.43846893310547,59.74154281616211,57.4370002746582,58.751609802246094,0,5,40,35,15.000000953674316,15.000000953674316,0,0,0,0,12.8399658203125,17179869184,2147483648,9243607040,577437696
209,1743489499697,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.81379318237305,58.525455474853516,68.8746337890625,65.36992645263672,61.39813995361328,61.11385726928711,58.52861022949219,59.60926055908203,57.16908645629883,58.728721618652344,4.761904716491699,4.545454502105713,70,19.047618865966797,5,0,0,0,0,0,12.8399658203125,17179869184,2147483648,9243607040,577437696
209,1743489499907,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.81379318237305,58.525455474853516,68.8746337890625,65.36992645263672,61.39813995361328,61.11385726928711,58.52861022949219,59.60926055908203,57.16908645629883,58.728721618652344,4.761904716491699,0,19.047618865966797,85.71428680419922,4.545454502105713,0,0,0,0,0,12.8399658203125,17179869184,2147483648,9243705344,577437696
201,1743489500117,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.81379318237305,58.525455474853516,68.8746337890625,65.36992645263672,61.39813995361328,61.11385726928711,58.52861022949219,59.60926055908203,57.16908645629883,58.728721618652344,4.761904716491699,9.090909004211426,61.904762268066406,33.333335876464844,4.761904716491699,4.545454502105713,0,0,0,0,12.755279541015625,17179869184,2147483648,9243705344,577437696
199,1743489500319,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.81379318237305,58.525455474853516,68.8746337890625,65.36992645263672,61.39813995361328,61.11385726928711,58.52861022949219,59.60926055908203,57.16908645629883,58.728721618652344,0,0,90,5,5,0,0,0,0,0,12.755279541015625,17179869184,2147483648,9243656192,577437696
201,1743489500519,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.81379318237305,58.525455474853516,68.8746337890625,65.36992645263672,61.39813995361328,61.11385726928711,58.52861022949219,59.60926055908203,57.16908645629883,58.728721618652344,9.523809432983398,0,25,68.42105102539063,10,0,0,0,0,0,12.755279541015625,17179869184,2147483648,9243656192,577437696
203,1743489500720,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.4730339050293,58.63085174560547,67.24736022949219,67.22529602050781,61.051849365234375,60.503875732421875,58.571109771728516,59.96904754638672,56.9903450012207,58.50852966308594,0,9.523809432983398,38.095237731933594,57.142860412597656,10,0,0,0,0,0,12.755279541015625,17179869184,2147483648,9243656192,577437696
209,1743489500924,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.4730339050293,58.63085174560547,67.24736022949219,67.22529602050781,61.051849365234375,60.503875732421875,58.571109771728516,59.96904754638672,56.9903450012207,58.50852966308594,9.523809432983398,5.263157844543457,25,40,5,30.000001907348633,0,0,0,0,12.755279541015625,17179869184,2147483648,9243656192,577437696
209,1743489501134,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.4730339050293,58.63085174560547,67.24736022949219,67.22529602050781,61.051849365234375,60.503875732421875,58.571109771728516,59.96904754638672,56.9903450012207,58.50852966308594,0,4.545454502105713,85.71428680419922,9.523809432983398,9.090909004211426,0,0,0,0,0,12.849071502685547,17179869184,2147483648,9243738112,577437696
209,1743489501344,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.4730339050293,58.63085174560547,67.24736022949219,67.22529602050781,61.051849365234375,60.503875732421875,58.571109771728516,59.96904754638672,56.9903450012207,58.50852966308594,9.090909004211426,0,71.42857360839844,20,5,0,0,0,0,0,12.849071502685547,17179869184,2147483648,9243705344,577437696
200,1743489501554,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.4730339050293,58.63085174560547,67.24736022949219,67.22529602050781,61.051849365234375,60.503875732421875,58.571109771728516,59.96904754638672,56.9903450012207,58.50852966308594,0,9.090909004211426,57.142860412597656,43.4782600402832,0,4.761904716491699,0,0,0,0,12.849071502685547,17179869184,2147483648,9242853376,577437696
205,1743489501755,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.83633041381836,58.63548278808594,67.37442779541016,65.87462615966797,61.54304504394531,61.39305877685547,58.402549743652344,60.034706115722656,56.96929931640625,58.661468505859375,0,0,63.15789031982422,30.000001907348633,10,0,0,0,0,0,12.849071502685547,17179869184,2147483648,9242886144,577437696
202,1743489501961,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.83633041381836,58.63548278808594,67.37442779541016,65.87462615966797,61.54304504394531,61.39305877685547,58.402549743652344,60.034706115722656,56.96929931640625,58.661468505859375,9.090909004211426,5,45.45454788208008,40,15.000000953674316,0,0,0,0,0,12.849071502685547,17179869184,2147483648,9242886144,577437696
209,1743489502163,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.83633041381836,58.63548278808594,67.37442779541016,65.87462615966797,61.54304504394531,61.39305877685547,58.402549743652344,60.034706115722656,56.96929931640625,58.661468505859375,0,0,5.263157844543457,90,4.761904716491699,0,0,0,0,0,12.982288360595703,17179869184,2147483648,9242886144,577437696
209,1743489502373,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.83633041381836,58.63548278808594,67.37442779541016,65.87462615966797,61.54304504394531,61.39305877685547,58.402549743652344,60.034706115722656,56.96929931640625,58.661468505859375,9.523809432983398,9.090909004211426,66.66667175292969,38.095237731933594,0,0,0,0,0,0,12.982288360595703,17179869184,2147483648,9242787840,577437696
204,1743489502583,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.83633041381836,58.63548278808594,67.37442779541016,65.87462615966797,61.54304504394531,61.39305877685547,58.402549743652344,60.034706115722656,56.96929931640625,58.661468505859375,14.285715103149414,5,80.95238494873047,23.809524536132813,4.761904716491699,18.18181800842285,0,0,0,0,12.982288360595703,17179869184,2147483648,9242853376,577437696
203,1743489502788,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.43594741821289,58.71421813964844,67.30203247070313,67.23601531982422,61.07341003417969,60.55828094482422,58.55498504638672,60.21403121948242,57.20723342895508,58.333404541015625,5,4.761904716491699,85,5,5,0,0,0,0,0,12.982288360595703,17179869184,2147483648,9242607616,577437696
204,1743489502992,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.43594741821289,58.71421813964844,67.30203247070313,67.23601531982422,61.07341003417969,60.55828094482422,58.55498504638672,60.21403121948242,57.20723342895508,58.333404541015625,0,5,76.19047546386719,15.000000953674316,5,4.761904716491699,0,0,0,0,12.982288360595703,17179869184,2147483648,9242624000,577437696
203,1743489503196,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.43594741821289,58.71421813964844,67.30203247070313,67.23601531982422,61.07341003417969,60.55828094482422,58.55498504638672,60.21403121948242,57.20723342895508,58.333404541015625,4.761904716491699,0,52.38095474243164,42.85714340209961,9.523809432983398,5,0,0,0,0,12.856647491455078,17179869184,2147483648,9241739264,577437696
203,1743489503400,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.43594741821289,58.71421813964844,67.30203247070313,67.23601531982422,61.07341003417969,60.55828094482422,58.55498504638672,60.21403121948242,57.20723342895508,58.333404541015625,5,5,23.809524536132813,71.42857360839844,5,0,0,0,0,0,12.856647491455078,17179869184,2147483648,9241755648,577437696
207,1743489503604,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.65850067138672,58.4908447265625,67.83078002929688,67.35749816894531,61.346519470214844,60.78377151489258,58.61802291870117,60.23579025268555,57.422794342041016,58.299217224121094,5,4.761904716491699,25,78.94737243652344,0,0,0,0,0,0,12.856647491455078,17179869184,2147483648,9241755648,577437696
204,1743489503812,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.65850067138672,58.4908447265625,67.83078002929688,67.35749816894531,61.346519470214844,60.78377151489258,58.61802291870117,60.23579025268555,57.422794342041016,58.299217224121094,4.761904716491699,5,19.047618865966797,69.56521606445313,15.000000953674316,0,0,0,0,0,12.856647491455078,17179869184,2147483648,9241821184,577437696
200,1743489504017,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.65850067138672,58.4908447265625,67.83078002929688,67.35749816894531,61.346519470214844,60.78377151489258,58.61802291870117,60.23579025268555,57.422794342041016,58.299217224121094,38.095237731933594,33.333335876464844,45,10,42.85714340209961,0,0,0,0,0,12.856647491455078,17179869184,2147483648,9241804800,577437696
199,1743489504218,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.65850067138672,58.4908447265625,67.83078002929688,67.35749816894531,61.346519470214844,60.78377151489258,58.61802291870117,60.23579025268555,57.422794342041016,58.299217224121094,0,4.761904716491699,60.000003814697266,21.052631378173828,20,0,0,0,0,0,13.003968238830566,17179869184,2147483648,9241673728,577437696
209,1743489504419,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.65850067138672,58.4908447265625,67.83078002929688,67.35749816894531,61.346519470214844,60.78377151489258,58.61802291870117,60.23579025268555,57.422794342041016,58.299217224121094,5,0,75,28.571430206298828,4.761904716491699,0,0,0,0,0,13.003968238830566,17179869184,2147483648,9241673728,577437696
201,1743489504629,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.000099182128906,58.57489776611328,66.43367004394531,65.99195098876953,62.87334442138672,61.03636169433594,58.4481086730957,59.954017639160156,57.26736068725586,58.35511779785156,4.545454502105713,4.761904716491699,52.38095474243164,40,9.523809432983398,0,0,0,0,0,13.003968238830566,17179869184,2147483648,9241673728,577437696
209,1743489504831,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.000099182128906,58.57489776611328,66.43367004394531,65.99195098876953,62.87334442138672,61.03636169433594,58.4481086730957,59.954017639160156,57.26736068725586,58.35511779785156,14.285715103149414,15.789472579956055,52.38095474243164,42.85714340209961,4.761904716491699,9.523809432983398,0,0,0,0,13.003968238830566,17179869184,2147483648,9242083328,577437696
209,1743489505041,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.000099182128906,58.57489776611328,66.43367004394531,65.99195098876953,62.87334442138672,61.03636169433594,58.4481086730957,59.954017639160156,57.26736068725586,58.35511779785156,0,9.090909004211426,57.142860412597656,25,20,0,0,0,0,0,13.003968238830566,17179869184,2147483648,9242116096,577437696
