Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743470137206,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,58.840328216552734,56.748023986816406,58.01207733154297,57.700462341308594,57.43798065185547,58.59774398803711,56.21419906616211,55.80842208862305,54.90850067138672,55.798309326171875,50,50,0,100,0,0,0,0,0,0,3.975092887878418,17179869184,2147483648,10040737792,652935168
209,1743470137206,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,58.840328216552734,56.748023986816406,58.01207733154297,57.700462341308594,57.43798065185547,58.59774398803711,56.21419906616211,55.80842208862305,54.90850067138672,55.798309326171875,0,0,NaN,100,0,0,0,0,0,0,3.975092887878418,17179869184,2147483648,10040737792,652935168
209,1743470137417,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,58.840328216552734,56.748023986816406,58.01207733154297,57.700462341308594,57.43798065185547,58.59774398803711,56.21419906616211,55.80842208862305,54.90850067138672,55.798309326171875,0,0,52.38095474243164,45,0,0,0,0,0,0,3.975092887878418,17179869184,2147483648,10040737792,652935168
206,1743470137627,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,60.15084457397461,57.441341400146484,61.60370635986328,61.81612777709961,59.025238037109375,59.816986083984375,56.97399139404297,57.0449333190918,55.36238479614258,56.37236785888672,4.761904716491699,4.545454502105713,36.3636360168457,36.3636360168457,0,31.81818199157715,0,0,0,0,3.975092887878418,17179869184,2147483648,10040737792,652935168
209,1743470137833,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,60.15084457397461,57.441341400146484,61.60370635986328,61.81612777709961,59.025238037109375,59.816986083984375,56.97399139404297,57.0449333190918,55.36238479614258,56.37236785888672,31.81818199157715,28.571430206298828,20,28.571430206298828,35,9.523809432983398,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,3.975092887878418,17179869184,2147483648,10032054272,652935168
209,1743470138044,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,60.15084457397461,57.441341400146484,61.60370635986328,61.81612777709961,59.025238037109375,59.816986083984375,56.97399139404297,57.0449333190918,55.36238479614258,56.37236785888672,52.38095474243164,55,61.904762268066406,40,23.809524536132813,25,19.047618865966797,0,4.545454502105713,0,5.579545497894287,17179869184,2147483648,10033086464,652935168
200,1743470138254,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,60.15084457397461,57.441341400146484,61.60370635986328,61.81612777709961,59.025238037109375,59.816986083984375,56.97399139404297,57.0449333190918,55.36238479614258,56.37236785888672,0,4.761904716491699,0,0,4.545454502105713,100,0,0,0,0,5.579545497894287,17179869184,2147483648,10033102848,652935168
208,1743470138455,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,60.15084457397461,57.441341400146484,61.60370635986328,61.81612777709961,59.025238037109375,59.816986083984375,56.97399139404297,57.0449333190918,55.36238479614258,56.37236785888672,5,5,0,4.761904716491699,0,100,0,0,0,0,5.579545497894287,17179869184,2147483648,10033102848,652935168
209,1743470138664,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.762123107910156,58.38300323486328,60.60834503173828,61.16893768310547,62.25665283203125,66.21611022949219,57.778953552246094,57.694515228271484,56.89243698120117,58.486907958984375,4.761904716491699,4.761904716491699,4.545454502105713,0,0,100,0,0,0,4.761904716491699,5.579545497894287,17179869184,2147483648,10033119232,652935168
200,1743470138874,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.762123107910156,58.38300323486328,60.60834503173828,61.16893768310547,62.25665283203125,66.21611022949219,57.778953552246094,57.694515228271484,56.89243698120117,58.486907958984375,5,0,100,0,0,0,0,0,0,0,5.579545497894287,17179869184,2147483648,10033135616,652935168
