Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743074121120,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,60.245094299316406,57.805606842041016,59.81343078613281,59.125640869140625,59.242530822753906,61.419593811035156,57.53920364379883,57.985313415527344,56.59510803222656,58.168914794921875,66.66667175292969,50,0,100,0,0,0,0,0,0,9.803918838500977,17179869184,2147483648,11854168064,695992320
205,1743074121120,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,60.245094299316406,57.805606842041016,59.81343078613281,59.125640869140625,59.242530822753906,61.419593811035156,57.53920364379883,57.985313415527344,56.59510803222656,58.168914794921875,100,100,0,100,0,0,0,0,0,0,9.803918838500977,17179869184,2147483648,11854168064,695992320
199,1743074121326,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,60.245094299316406,57.805606842041016,59.81343078613281,59.125640869140625,59.242530822753906,61.419593811035156,57.53920364379883,57.985313415527344,56.59510803222656,58.168914794921875,57.142860412597656,57.142860412597656,40,42.85714340209961,25,4.761904716491699,0,0,4.545454502105713,0,9.803918838500977,17179869184,2147483648,11854168064,695992320
204,1743074121526,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,60.245094299316406,57.805606842041016,59.81343078613281,59.125640869140625,59.242530822753906,61.419593811035156,57.53920364379883,57.985313415527344,56.59510803222656,58.168914794921875,50,55,28.571430206298828,30.000001907348633,40,5.263157844543457,0,0,0,0,9.803918838500977,17179869184,2147483648,11854168064,695992320
204,1743074121732,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.35770797729492,58.91300582885742,63.68058776855469,63.58509826660156,62.55220031738281,63.77065658569336,58.72102737426758,59.40860366821289,57.73561096191406,59.39702606201172,65,61.904762268066406,0,65,38.095237731933594,4.761904716491699,0,0,0,0,9.803918838500977,17179869184,2147483648,11571544064,695992320
200,1743074121936,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.35770797729492,58.91300582885742,63.68058776855469,63.58509826660156,62.55220031738281,63.77065658569336,58.72102737426758,59.40860366821289,57.73561096191406,59.39702606201172,61.904762268066406,63.15789031982422,4.761904716491699,5,95,0,0,4.761904716491699,0,0,9.803918838500977,17179869184,2147483648,11571871744,695992320
201,1743074122138,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.35770797729492,58.91300582885742,63.68058776855469,63.58509826660156,62.55220031738281,63.77065658569336,58.72102737426758,59.40860366821289,57.73561096191406,59.39702606201172,60.000003814697266,59.09090805053711,5,9.090909004211426,90,5.263157844543457,0,0,0,0,12.777972221374512,17179869184,2147483648,11569315840,695992320
204,1743074122340,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.35770797729492,58.91300582885742,63.68058776855469,63.58509826660156,62.55220031738281,63.77065658569336,58.72102737426758,59.40860366821289,57.73561096191406,59.39702606201172,50,52.6315803527832,30.000001907348633,42.105262756347656,33.333335876464844,18.18181800842285,4.761904716491699,0,0,0,12.777972221374512,17179869184,2147483648,11562762240,695992320
201,1743074122545,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.35770797729492,58.91300582885742,63.68058776855469,63.58509826660156,62.55220031738281,63.77065658569336,58.72102737426758,59.40860366821289,57.73561096191406,59.39702606201172,65,66.66667175292969,38.095237731933594,57.142860412597656,10,0,4.761904716491699,0,0,0,12.777972221374512,17179869184,2147483648,11539677184,695992320
206,1743074122747,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.37508010864258,59.156063079833984,63.32318878173828,64.38534545898438,65.9404296875,65.39862060546875,58.859188079833984,59.816219329833984,57.888065338134766,59.93663787841797,65,63.15789031982422,30.000001907348633,75,10,9.523809432983398,0,0,0,0,12.777972221374512,17179869184,2147483648,11542331392,695992320
204,1743074122954,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.37508010864258,59.156063079833984,63.32318878173828,64.38534545898438,65.9404296875,65.39862060546875,58.859188079833984,59.816219329833984,57.888065338134766,59.93663787841797,47.619049072265625,47.619049072265625,15.000000953674316,10,80,0,0,0,0,0,12.777972221374512,17179869184,2147483648,11542134784,695992320
201,1743074123158,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.37508010864258,59.156063079833984,63.32318878173828,64.38534545898438,65.9404296875,65.39862060546875,58.859188079833984,59.816219329833984,57.888065338134766,59.93663787841797,60.000003814697266,61.904762268066406,25,14.285715103149414,95,9.523809432983398,0,0,0,0,17.43575668334961,17179869184,2147483648,11455102976,695992320
204,1743074123360,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.37508010864258,59.156063079833984,63.32318878173828,64.38534545898438,65.9404296875,65.39862060546875,58.859188079833984,59.816219329833984,57.888065338134766,59.93663787841797,80,75,42.85714340209961,40,42.85714340209961,15.000000953674316,14.285715103149414,15.000000953674316,9.523809432983398,4.761904716491699,17.43575668334961,17179869184,2147483648,11907760128,695992320
201,1743074123566,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.20787048339844,59.822959899902344,64.6369857788086,65.4568099975586,63.98408508300781,65.14067077636719,59.818023681640625,61.00092315673828,58.932430267333984,60.50328826904297,85.71428680419922,85.71428680419922,65,75,71.42857360839844,45,40,30.000001907348633,15.000000953674316,20,17.43575668334961,17179869184,2147483648,11852234752,695992320
204,1743074123767,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.20787048339844,59.822959899902344,64.6369857788086,65.4568099975586,63.98408508300781,65.14067077636719,59.818023681640625,61.00092315673828,58.932430267333984,60.50328826904297,35,38.88888931274414,75,47.619049072265625,5,0,5,10,0,0,17.43575668334961,17179869184,2147483648,11852234752,695992320
204,1743074123972,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.20787048339844,59.822959899902344,64.6369857788086,65.4568099975586,63.98408508300781,65.14067077636719,59.818023681640625,61.00092315673828,58.932430267333984,60.50328826904297,50,50,30.000001907348633,76.19047546386719,0,4.761904716491699,0,0,0,0,17.43575668334961,17179869184,2147483648,11852251136,695992320
202,1743074124177,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.20787048339844,59.822959899902344,64.6369857788086,65.4568099975586,63.98408508300781,65.14067077636719,59.818023681640625,61.00092315673828,58.932430267333984,60.50328826904297,47.619049072265625,55,59.09090805053711,40,10,0,0,0,0,0,17.98838233947754,17179869184,2147483648,11852251136,695992320
203,1743074124380,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.20787048339844,59.822959899902344,64.6369857788086,65.4568099975586,63.98408508300781,65.14067077636719,59.818023681640625,61.00092315673828,58.932430267333984,60.50328826904297,55,50,0,0,25,75,0,0,0,0,17.98838233947754,17179869184,2147483648,11852251136,695992320
204,1743074124584,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.46483612060547,59.69656753540039,65.74637603759766,65.8443374633789,62.977561950683594,65.23883819580078,59.46772003173828,60.689483642578125,58.56112289428711,60.45281982421875,65,61.904762268066406,40,20,28.571430206298828,23.809524536132813,0,0,0,0,17.98838233947754,17179869184,2147483648,11852251136,695992320
204,1743074124789,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.46483612060547,59.69656753540039,65.74637603759766,65.8443374633789,62.977561950683594,65.23883819580078,59.46772003173828,60.689483642578125,58.56112289428711,60.45281982421875,52.38095474243164,57.142860412597656,33.333335876464844,47.619049072265625,30.000001907348633,0,4.761904716491699,0,0,0,17.98838233947754,17179869184,2147483648,11700092928,695992320
204,1743074124993,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.46483612060547,59.69656753540039,65.74637603759766,65.8443374633789,62.977561950683594,65.23883819580078,59.46772003173828,60.689483642578125,58.56112289428711,60.45281982421875,90,89.47368621826172,50,55,35,23.809524536132813,30.000001907348633,28.571430206298828,23.809524536132813,15.000000953674316,17.98838233947754,17179869184,2147483648,12107382784,695992320
204,1743074125199,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.46483612060547,59.69656753540039,65.74637603759766,65.8443374633789,62.977561950683594,65.23883819580078,59.46772003173828,60.689483642578125,58.56112289428711,60.45281982421875,100,100,55,52.38095474243164,38.095237731933594,35,47.619049072265625,14.285715103149414,10,14.285715103149414,20.31183433532715,17179869184,2147483648,12460752896,695992320
204,1743074125403,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.46483612060547,59.69656753540039,65.74637603759766,65.8443374633789,62.977561950683594,65.23883819580078,59.46772003173828,60.689483642578125,58.56112289428711,60.45281982421875,71.42857360839844,66.66667175292969,23.809524536132813,45,55,0,0,0,0,0,20.31183433532715,17179869184,2147483648,12459393024,695992320
8,1743074125608,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.48283767700195,60.43891906738281,64.54824829101563,65.41972351074219,63.500762939453125,64.64276123046875,60.33464050292969,61.22092056274414,59.46937561035156,61.093841552734375,75,71.42857360839844,30.000001907348633,50,14.285715103149414,14.285715103149414,14.285715103149414,0,0,0,20.31183433532715,17179869184,2147483648,12506038272,695992320
