Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743480293969,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,58.709434509277344,56.50764846801758,58.13182830810547,58.005592346191406,57.74921417236328,58.86729049682617,56.268035888671875,56.23762130737305,55.43719482421875,56.94319152832031,50,50,0,0,100,0,0,0,0,0,4.210930347442627,17179869184,2147483648,9574170624,644546560
201,1743480293969,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,58.709434509277344,56.50764846801758,58.13182830810547,58.005592346191406,57.74921417236328,58.86729049682617,56.268035888671875,56.23762130737305,55.43719482421875,56.94319152832031,0,0,0,0,100,0,0,0,0,0,4.210930347442627,17179869184,2147483648,9574170624,644546560
207,1743480294171,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,58.709434509277344,56.50764846801758,58.13182830810547,58.005592346191406,57.74921417236328,58.86729049682617,56.268035888671875,56.23762130737305,55.43719482421875,56.94319152832031,0,0,95.23809814453125,0,5,0,0,0,0,0,4.009828090667725,17179869184,2147483648,9574170624,644546560
209,1743480294379,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,58.709434509277344,56.50764846801758,58.13182830810547,58.005592346191406,57.74921417236328,58.86729049682617,56.268035888671875,56.23762130737305,55.43719482421875,56.94319152832031,9.090909004211426,5,65,4.761904716491699,38.095237731933594,0,0,0,0,0,4.009828090667725,17179869184,2147483648,9574170624,644546560
209,1743480294589,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,58.709434509277344,56.50764846801758,63.17906951904297,58.005592346191406,57.74921417236328,58.86729049682617,56.268035888671875,56.23762130737305,55.43719482421875,56.94319152832031,14.285715103149414,13.636363983154297,27.272727966308594,9.523809432983398,76.19047546386719,13.636363983154297,0,0,0,0,4.009828090667725,17179869184,2147483648,9576136704,644546560
202,1743480294799,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.755706787109375,57.69978713989258,63.17906951904297,61.263309478759766,63.08064270019531,61.860557556152344,57.27806854248047,57.37553787231445,56.42053985595703,58.03905487060547,10,10,80.95238494873047,0,19.047618865966797,0,0,0,0,0,4.009828090667725,17179869184,2147483648,9576005632,644546560
202,1743480295002,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.755706787109375,57.69978713989258,63.17906951904297,61.263309478759766,63.08064270019531,61.860557556152344,57.27806854248047,57.37553787231445,56.42053985595703,58.03905487060547,5.263157844543457,14.285715103149414,100,5,0,0,0,0,0,0,4.009828090667725,17179869184,2147483648,9575956480,644546560
200,1743480295205,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.755706787109375,57.69978713989258,63.17906951904297,61.263309478759766,63.08064270019531,61.860557556152344,57.27806854248047,57.37553787231445,56.42053985595703,58.03905487060547,18.18181800842285,14.285715103149414,100,0,0,0,0,0,0,0,8.918293952941895,17179869184,2147483648,9576300544,644546560
209,1743480295407,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.755706787109375,57.69978713989258,63.17906951904297,61.263309478759766,63.08064270019531,61.860557556152344,57.27806854248047,57.37553787231445,56.42053985595703,58.03905487060547,5,0,100,0,0,0,0,0,0,0,8.918293952941895,17179869184,2147483648,9576316928,644546560
201,1743480295617,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.56172180175781,57.69908142089844,67.25823211669922,63.00631332397461,59.216941833496094,59.983272552490234,57.344085693359375,57.74472427368164,56.42935562133789,57.74433135986328,4.761904716491699,4.761904716491699,40.90909194946289,66.66667175292969,0,0,0,0,0,0,8.918293952941895,17179869184,2147483648,9576316928,644546560
204,1743480295818,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.56172180175781,57.69908142089844,67.25823211669922,63.00631332397461,59.216941833496094,59.983272552490234,57.344085693359375,57.74472427368164,56.42935562133789,57.74433135986328,5,9.523809432983398,0,100,0,0,0,0,0,0,8.918293952941895,17179869184,2147483648,9576316928,644546560
203,1743480296023,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.56172180175781,57.69908142089844,67.25823211669922,63.00631332397461,59.216941833496094,59.983272552490234,57.344085693359375,57.74472427368164,56.42935562133789,57.74433135986328,5,0,10,90,4.545454502105713,0,0,0,0,0,8.918293952941895,17179869184,2147483648,9576316928,644546560
208,1743480296227,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.56172180175781,57.69908142089844,67.25823211669922,63.00631332397461,59.216941833496094,59.983272552490234,57.344085693359375,57.74472427368164,56.42935562133789,57.74433135986328,0,5,65,33.333335876464844,5,0,0,0,0,0,12.59237003326416,17179869184,2147483648,9576349696,644546560
209,1743480296437,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.56172180175781,57.69908142089844,67.25823211669922,63.00631332397461,59.216941833496094,59.983272552490234,57.344085693359375,57.74472427368164,56.42935562133789,57.74433135986328,4.761904716491699,4.761904716491699,100,4.761904716491699,0,0,0,0,0,0,12.59237003326416,17179869184,2147483648,9576382464,644546560
209,1743480296647,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.49607849121094,57.994503021240234,67.07431030273438,67.20365142822266,59.139190673828125,59.995521545410156,57.8795051574707,58.770782470703125,56.71099853515625,58.275428771972656,0,0,100,0,0,0,0,0,0,0,12.59237003326416,17179869184,2147483648,9576382464,644546560
209,1743480296857,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.49607849121094,57.994503021240234,67.07431030273438,67.20365142822266,59.139190673828125,59.995521545410156,57.8795051574707,58.770782470703125,56.71099853515625,58.275428771972656,8.69565200805664,4.545454502105713,52.38095474243164,23.809524536132813,23.809524536132813,0,0,0,0,0,12.59237003326416,17179869184,2147483648,9576382464,644546560
202,1743480297067,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.49607849121094,57.994503021240234,67.07431030273438,67.20365142822266,59.139190673828125,59.995521545410156,57.8795051574707,58.770782470703125,56.71099853515625,58.275428771972656,0,4.761904716491699,71.42857360839844,25,0,0,0,0,0,0,12.604247093200684,17179869184,2147483648,9576284160,644546560
207,1743480297270,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.49607849121094,57.994503021240234,67.07431030273438,67.20365142822266,59.139190673828125,59.995521545410156,57.8795051574707,58.770782470703125,56.71099853515625,58.275428771972656,0,0,38.095237731933594,61.904762268066406,4.761904716491699,5,0,0,0,0,12.604247093200684,17179869184,2147483648,9576284160,644546560
199,1743480297477,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.49607849121094,57.994503021240234,67.07431030273438,67.20365142822266,59.139190673828125,59.995521545410156,57.8795051574707,58.770782470703125,56.71099853515625,58.275428771972656,9.523809432983398,19.047618865966797,28.571430206298828,61.904762268066406,4.761904716491699,5,0,0,0,0,12.604247093200684,17179869184,2147483648,9576284160,644546560
209,1743480297678,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.99659729003906,58.07734680175781,66.20513916015625,65.64202117919922,60.90570831298828,61.12967300415039,58.059078216552734,58.58271789550781,56.96895217895508,58.37760925292969,42.85714340209961,36.842105865478516,15.789472579956055,31.57894515991211,50,0,0,0,0,0,12.604247093200684,17179869184,2147483648,9576759296,644546560
204,1743480297887,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.99659729003906,58.07734680175781,66.20513916015625,65.64202117919922,60.90570831298828,61.12967300415039,58.059078216552734,58.58271789550781,56.96895217895508,58.37760925292969,0,9.090909004211426,54.54545593261719,45.45454788208008,4.761904716491699,4.545454502105713,0,0,4.545454502105713,0,12.604247093200684,17179869184,2147483648,9576824832,644546560
203,1743480298092,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.99659729003906,58.07734680175781,66.20513916015625,65.64202117919922,60.90570831298828,61.12967300415039,58.059078216552734,58.58271789550781,56.96895217895508,58.37760925292969,0,5,10.526315689086914,45,45,0,0,0,0,0,12.912694931030273,17179869184,2147483648,9576710144,644546560
209,1743480298296,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.99659729003906,58.07734680175781,66.20513916015625,65.64202117919922,60.90570831298828,61.12967300415039,58.059078216552734,58.58271789550781,56.96895217895508,58.37760925292969,9.523809432983398,0,28.571430206298828,60.000003814697266,10,0,0,0,0,0,12.912694931030273,17179869184,2147483648,9576759296,644546560
209,1743480298506,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.99659729003906,58.07734680175781,66.20513916015625,65.64202117919922,60.90570831298828,61.12967300415039,58.059078216552734,58.58271789550781,56.96895217895508,58.37760925292969,4.761904716491699,4.761904716491699,52.38095474243164,19.047618865966797,28.571430206298828,0,4.761904716491699,0,0,0,12.912694931030273,17179869184,2147483648,9576759296,644546560
200,1743480298716,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.3959846496582,58.127891540527344,65.21981048583984,65.88212585449219,61.764312744140625,61.49903106689453,58.15276336669922,58.73723602294922,56.98289108276367,58.68065643310547,4.761904716491699,4.761904716491699,38.095237731933594,31.81818199157715,36.3636360168457,0,0,0,0,0,12.912694931030273,17179869184,2147483648,9576054784,644546560
207,1743480298917,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.3959846496582,58.127891540527344,65.21981048583984,65.88212585449219,61.764312744140625,61.49903106689453,58.15276336669922,58.73723602294922,56.98289108276367,58.68065643310547,5,0,52.6315803527832,15.789472579956055,25,10,0,0,0,0,12.912694931030273,17179869184,2147483648,9576054784,644546560
207,1743480299125,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.3959846496582,58.127891540527344,65.21981048583984,65.88212585449219,61.764312744140625,61.49903106689453,58.15276336669922,58.73723602294922,56.98289108276367,58.68065643310547,0,9.090909004211426,30.434782028198242,9.523809432983398,18.18181800842285,47.619049072265625,0,0,0,0,12.865235328674316,17179869184,2147483648,9576071168,644546560
208,1743480299333,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.3959846496582,58.127891540527344,65.21981048583984,65.88212585449219,61.764312744140625,61.49903106689453,58.15276336669922,58.73723602294922,56.98289108276367,58.68065643310547,0,0,20,60.000003814697266,25,0,0,0,0,0,12.865235328674316,17179869184,2147483648,9576071168,644546560
208,1743480299542,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.3959846496582,58.127891540527344,65.21981048583984,65.88212585449219,61.764312744140625,61.49903106689453,58.15276336669922,58.73723602294922,56.98289108276367,58.68065643310547,9.090909004211426,4.761904716491699,9.523809432983398,47.619049072265625,42.85714340209961,0,0,0,0,0,12.865235328674316,17179869184,2147483648,9576071168,644546560
203,1743480299751,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.50627517700195,58.222251892089844,64.40009307861328,65.01255798339844,63.056640625,63.21083068847656,57.88689041137695,58.676422119140625,57.00640869140625,58.931602478027344,0,0,20,80.95238494873047,0,0,0,0,0,0,12.865235328674316,17179869184,2147483648,9575661568,644546560
201,1743480299954,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.50627517700195,58.222251892089844,64.40009307861328,65.01255798339844,63.056640625,63.21083068847656,57.88689041137695,58.676422119140625,57.00640869140625,58.931602478027344,9.523809432983398,9.090909004211426,42.85714340209961,52.38095474243164,0,5,0,0,0,0,12.865235328674316,17179869184,2147483648,9575612416,644546560
209,1743480300156,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.50627517700195,58.222251892089844,64.40009307861328,65.01255798339844,63.056640625,63.21083068847656,57.88689041137695,58.676422119140625,57.00640869140625,58.931602478027344,10,5.263157844543457,25,61.904762268066406,14.285715103149414,0,0,0,0,0,12.80548095703125,17179869184,2147483648,9575153664,644546560
203,1743480300366,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.50627517700195,58.222251892089844,64.40009307861328,65.01255798339844,63.056640625,63.21083068847656,57.88689041137695,58.676422119140625,57.00640869140625,58.931602478027344,15.000000953674316,9.523809432983398,38.095237731933594,57.142860412597656,4.761904716491699,0,0,0,0,0,12.80548095703125,17179869184,2147483648,9575284736,644546560
207,1743480300570,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.50627517700195,58.222251892089844,64.40009307861328,65.01255798339844,63.056640625,63.21083068847656,57.88689041137695,58.676422119140625,57.00640869140625,58.931602478027344,4.761904716491699,0,45,50,9.523809432983398,0,0,0,0,0,12.80548095703125,17179869184,2147483648,9575268352,644546560
200,1743480300778,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.91909408569336,58.28778076171875,65.87109375,67.65333557128906,59.800811767578125,60.801910400390625,58.20524597167969,59.204734802246094,56.930110931396484,58.50749969482422,0,8.69565200805664,47.619049072265625,9.523809432983398,0,47.619049072265625,0,0,0,0,12.80548095703125,17179869184,2147483648,9575301120,644546560
201,1743480300978,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.91909408569336,58.28778076171875,65.87109375,67.65333557128906,59.800811767578125,60.801910400390625,58.20524597167969,59.204734802246094,56.930110931396484,58.50749969482422,5,0,35,21.052631378173828,45,0,0,0,0,0,12.80548095703125,17179869184,2147483648,9575301120,644546560
199,1743480301181,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.91909408569336,58.28778076171875,65.87109375,67.65333557128906,59.800811767578125,60.801910400390625,58.20524597167969,59.204734802246094,56.930110931396484,58.50749969482422,4.761904716491699,0,50,30.000001907348633,20,0,0,0,0,0,12.833076477050781,17179869184,2147483648,9575301120,644546560
202,1743480301381,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.91909408569336,58.28778076171875,65.87109375,67.65333557128906,59.800811767578125,60.801910400390625,58.20524597167969,59.204734802246094,56.930110931396484,58.50749969482422,0,9.090909004211426,60.000003814697266,40,0,4.761904716491699,0,0,0,0,12.833076477050781,17179869184,2147483648,9575301120,644546560
207,1743480301584,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.91909408569336,58.28778076171875,65.87109375,67.65333557128906,59.800811767578125,60.801910400390625,58.20524597167969,59.204734802246094,56.930110931396484,58.50749969482422,4.761904716491699,0,50,19.047618865966797,35,0,0,0,0,0,12.833076477050781,17179869184,2147483648,9575170048,644546560
208,1743480301792,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.76959228515625,58.41018295288086,65.6639175415039,63.953468322753906,62.42334747314453,62.40159606933594,58.10298156738281,58.55875015258789,57.242984771728516,58.842933654785156,9.523809432983398,9.090909004211426,23.809524536132813,70,9.523809432983398,0,0,0,0,0,12.833076477050781,17179869184,2147483648,9575235584,644546560
