Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743073266840,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,59.59308624267578,56.98884201049805,60.17864990234375,60.09712219238281,59.51056671142578,61.30282211303711,57.20672607421875,57.7772102355957,56.454383850097656,58.502052307128906,66.66667175292969,50,0,0,100,0,0,0,0,0,23.542638778686523,17179869184,2147483648,12786597888,704380928
203,1743073266840,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,59.59308624267578,56.98884201049805,60.17864990234375,60.09712219238281,59.51056671142578,61.30282211303711,57.20672607421875,57.7772102355957,56.454383850097656,58.502052307128906,NaN,100,0,0,100,0,0,0,0,0,23.542638778686523,17179869184,2147483648,12786597888,704380928
203,1743073267045,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,59.59308624267578,56.98884201049805,60.17864990234375,60.09712219238281,59.51056671142578,61.30282211303711,57.20672607421875,57.7772102355957,56.454383850097656,58.502052307128906,42.85714340209961,42.85714340209961,33.333335876464844,47.619049072265625,47.619049072265625,14.285715103149414,25,0,0,4.761904716491699,19.514101028442383,17179869184,2147483648,12786597888,704380928
202,1743073267248,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,59.59308624267578,56.98884201049805,60.17864990234375,60.09712219238281,59.51056671142578,61.30282211303711,57.20672607421875,57.7772102355957,56.454383850097656,58.502052307128906,66.66667175292969,65,52.6315803527832,52.6315803527832,40,50,52.38095474243164,28.571430206298828,26.3157901763916,25,19.514101028442383,17179869184,2147483648,12786597888,704380928
201,1743073267451,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,59.59308624267578,56.98884201049805,60.17864990234375,60.09712219238281,59.51056671142578,61.30282211303711,57.20672607421875,57.7772102355957,56.454383850097656,58.502052307128906,42.105262756347656,35,61.904762268066406,76.19047546386719,55,55,47.36842346191406,45,35,30.000001907348633,19.514101028442383,17179869184,2147483648,12833570816,704380928
200,1743073267657,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.60570526123047,59.424720764160156,64.03939056396484,64.49535369873047,64.23050689697266,65.30095672607422,61.286991119384766,61.41018295288086,59.456298828125,61.645774841308594,55,55,61.904762268066406,55,47.619049072265625,36.3636360168457,45.45454788208008,19.047618865966797,14.285715103149414,15.000000953674316,19.514101028442383,17179869184,2147483648,12716113920,704380928
201,1743073267859,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.60570526123047,59.424720764160156,64.03939056396484,64.49535369873047,64.23050689697266,65.30095672607422,61.286991119384766,61.41018295288086,59.456298828125,61.645774841308594,70,73.68421173095703,52.6315803527832,40,25,21.052631378173828,63.15789031982422,9.523809432983398,15.000000953674316,0,19.514101028442383,17179869184,2147483648,12716113920,704380928
205,1743073268061,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.60570526123047,59.424720764160156,64.03939056396484,64.49535369873047,64.23050689697266,65.30095672607422,61.286991119384766,61.41018295288086,59.456298828125,61.645774841308594,66.66667175292969,66.66667175292969,52.38095474243164,45,33.333335876464844,19.047618865966797,52.38095474243164,0,5,0,21.3332576751709,17179869184,2147483648,12716113920,704380928
200,1743073268267,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.60570526123047,59.424720764160156,64.03939056396484,64.49535369873047,64.23050689697266,65.30095672607422,61.286991119384766,61.41018295288086,59.456298828125,61.645774841308594,52.6315803527832,55,65,57.142860412597656,44.4444465637207,35,55,35,19.047618865966797,13.636363983154297,21.3332576751709,17179869184,2147483648,12716113920,704380928
203,1743073268469,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.60570526123047,59.424720764160156,64.03939056396484,64.49535369873047,64.23050689697266,65.30095672607422,61.286991119384766,61.41018295288086,59.456298828125,61.645774841308594,66.66667175292969,65,66.66667175292969,47.36842346191406,42.85714340209961,26.3157901763916,50,30.000001907348633,10,15.000000953674316,21.3332576751709,17179869184,2147483648,12513345536,704380928
