Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1743127246287,4472.636444091797,3600,1,1.11875,294.3063201904297,3600,1,1.11875,4410.588577270508,3600,1,1.11875,859.9777374267578,3000,1,1.11875,280.2715301513672,3000,1,1.11875,7058.00227355957,3750,0,1.11875,17972.912689208984,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,0,0,0,100,4.761904716491699,0,0,0,0,0,0,0,33574961152,17179865088,4284645376,0
199,1743127246487,4472.63688659668,3600,1,1.15625,294.31341552734375,3600,1,1.15625,4410.593704223633,3600,1,1.15625,860.0282592773438,3750,0,1.15625,280.28961181640625,3000,1,1.15625,7058.943939208984,3750,0,1.15625,17978.1025390625,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4288008192,0
199,1743127246687,4472.637069702148,3600,1,1.11875,294.3135070800781,3600,1,1.11875,4410.6007080078125,3600,1,1.11875,860.0778656005859,3000,1,1.11875,280.28973388671875,3000,1,1.11875,7059.819641113281,3750,0,1.11875,17983.29652404785,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4304400384,0
199,1743127246887,4472.645233154297,3600,1,1.125,294.31593322753906,3600,1,1.125,4410.604278564453,3600,1,1.125,860.1269989013672,3000,1,1.125,280.29693603515625,3000,1,1.125,7060.739669799805,3750,0,1.125,17988.47459411621,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,0,0,4.761904716491699,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4304400384,0
199,1743127247087,4472.645324707031,3600,1,1.225,294.31605529785156,3600,1,1.225,4410.609909057617,3600,1,1.225,860.1781311035156,3120,1,1.225,280.29722595214844,3120,1,1.225,7061.633316040039,3900,0,1.225,17993.669174194336,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4320546816,0
199,1743127247287,4472.648193359375,3600,1,1.45,294.3189239501953,3600,1,1.45,4410.619720458984,3600,1,1.45,860.287841796875,3320.0000000000005,1,1.45,280.3018493652344,3320.0000000000005,1,1.45,7063.131683349609,4150,0,1.45,17999.810974121094,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4320804864,0
200,1743127247487,4472.6683349609375,3600,1,1.45,294.3351135253906,3600,1,1.45,4410.643005371094,3600,1,1.45,860.439208984375,3340,1,1.45,280.31980895996094,3300,1,1.45,7065.377334594727,4150,0,1.46875,18007.020767211914,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4320804864,0
199,1743127247688,4472.711837768555,3750,0,1.45625,294.3455505371094,3000,1,1.45625,4410.874801635742,3750,0,1.45625,860.5914611816406,3320.0000000000005,1,1.45625,280.3461456298828,3320.0000000000005,1,1.45625,7067.446792602539,4150,0,1.45625,18014.19987487793,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,0,0,0,94.73684692382813,5.263157844543457,0,0,0,0,0,0,0,33574961152,17179865088,4305547264,0
199,1743127247888,4472.773696899414,3750,0,1.46875,294.3699035644531,3750,0,1.46875,4410.897659301758,3750,0,1.4625000000000001,860.7409362792969,3320.0000000000005,1,1.4625000000000001,280.37255859375,3320.0000000000005,1,1.4625000000000001,7069.584579467773,4150,0,1.4625000000000001,18021.175170898438,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,4.761904716491699,0,0,95,0,0,0,0,4.761904716491699,0,0,0,33574961152,17179865088,4306579456,0
199,1743127248088,4472.837387084961,3000,1,1.46875,294.5054626464844,3750,0,1.46875,4410.996780395508,3000,1,1.46875,860.9035034179688,3320.0000000000005,1,1.46875,280.3983459472656,3320.0000000000005,1,1.46875,7071.626556396484,4150,0,1.46875,18028.378341674805,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,0,5,0,90,5,0,0,0,0,0,0,0,33574961152,17179865088,4308643840,0
199,1743127248288,4472.884811401367,3600,1,1.16875,294.6855773925781,3600,1,1.16875,4411.276031494141,3600,1,1.16875,861.0522003173828,3300,1,1.16875,280.47068786621094,3300,1,1.16875,7073.461013793945,4125,0,1.16875,18035.589233398438,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,4.761904716491699,5,0,80,14.285715103149414,4.761904716491699,4.761904716491699,0,0,0,0,0,33574961152,17179865088,4308643840,0
199,1743127248488,4473.060073852539,3750,0,1.4375,294.84375,3000,1,1.4375,4411.439147949219,3000,1,1.4375,861.4843292236328,3320.0000000000005,1,1.4375,280.65846252441406,3320.0000000000005,1,1.4375,7074.560607910156,4150,0,1.4375,18042.649536132813,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,14.285715103149414,4.761904716491699,5,5,0,21.052631378173828,0,70,0,5,5,5,33574961152,17179865088,4289314816,0
199,1743127248688,4473.36116027832,3000,1,1.45625,294.98963928222656,3000,1,1.45625,4411.628662109375,3750,0,1.45625,861.6367340087891,3300,1,1.45625,280.82310485839844,3300,1,1.45625,7076.53271484375,4125,0,1.45625,18050.475875854492,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,5.263157844543457,0,0,0,0,0,0,90,0,0,0,0,33574961152,17179865088,4283150336,0
