Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743380066462,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.73975372314453,59.00053024291992,64.42471313476563,63.14279556274414,62.59986114501953,62.013912200927734,58.93552780151367,59.09588623046875,57.88188552856445,59.314170837402344,50,0,100,0,0,0,0,0,0,0,12.709659576416016,17179869184,2147483648,9071902720,494796800
209,1743380066462,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.73975372314453,59.00053024291992,64.42471313476563,63.14279556274414,62.59986114501953,62.013912200927734,58.93552780151367,59.09588623046875,57.88188552856445,59.314170837402344,0,0,100,0,0,0,0,0,0,0,12.709659576416016,17179869184,2147483648,9072721920,494796800
209,1743380066673,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.73975372314453,59.00053024291992,64.42471313476563,63.14279556274414,62.59986114501953,62.013912200927734,58.93552780151367,59.09588623046875,57.88188552856445,59.314170837402344,9.090909004211426,4.761904716491699,100,4.545454502105713,0,0,0,0,0,0,12.54913330078125,17179869184,2147483648,9065955328,494796800
200,1743380066883,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.73975372314453,59.00053024291992,64.42471313476563,63.14279556274414,62.59986114501953,62.013912200927734,58.93552780151367,59.09588623046875,57.88188552856445,59.314170837402344,0,4.761904716491699,100,0,0,4.545454502105713,0,0,0,0,12.54913330078125,17179869184,2147483648,9065988096,494796800
203,1743380067083,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.73975372314453,59.00053024291992,64.42471313476563,63.14279556274414,62.59986114501953,62.013912200927734,58.93552780151367,59.09588623046875,57.88188552856445,59.314170837402344,50,57.142860412597656,57.142860412597656,68.42105102539063,10,47.619049072265625,20,4.761904716491699,0,0,12.54913330078125,17179869184,2147483648,9070002176,494796800
199,1743380067287,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.91967010498047,59.190208435058594,68.11174774169922,65.08262634277344,61.658241271972656,62.055721282958984,59.18308639526367,59.58849334716797,57.8912239074707,59.614173889160156,19.047618865966797,21.052631378173828,40,52.38095474243164,18.18181800842285,25,5,0,0,0,12.54913330078125,17179869184,2147483648,9070002176,494796800
200,1743380067488,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.91967010498047,59.190208435058594,68.11174774169922,65.08262634277344,61.658241271972656,62.055721282958984,59.18308639526367,59.58849334716797,57.8912239074707,59.614173889160156,10.526315689086914,15.000000953674316,55,35,21.052631378173828,0,4.761904716491699,0,0,0,12.54913330078125,17179869184,2147483648,9070067712,494796800
201,1743380067689,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.91967010498047,59.190208435058594,68.11174774169922,65.08262634277344,61.658241271972656,62.055721282958984,59.18308639526367,59.58849334716797,57.8912239074707,59.614173889160156,14.285715103149414,10,50,42.85714340209961,30.000001907348633,5,0,0,0,0,12.889300346374512,17179869184,2147483648,9070116864,494796800
201,1743380067891,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.91967010498047,59.190208435058594,68.11174774169922,65.08262634277344,61.658241271972656,62.055721282958984,59.18308639526367,59.58849334716797,57.8912239074707,59.614173889160156,10,5.263157844543457,60.000003814697266,31.57894515991211,15.000000953674316,0,0,0,0,0,12.889300346374512,17179869184,2147483648,9070133248,494796800
200,1743380068093,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.91967010498047,59.190208435058594,68.11174774169922,65.08262634277344,61.658241271972656,62.055721282958984,59.18308639526367,59.58849334716797,57.8912239074707,59.614173889160156,5.263157844543457,15.000000953674316,60.000003814697266,38.095237731933594,28.571430206298828,0,0,0,0,0,12.889300346374512,17179869184,2147483648,9070329856,494796800
200,1743380068294,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.21267318725586,59.09308624267578,66.68357849121094,66.20857238769531,62.71588897705078,61.756343841552734,58.64037322998047,59.49348831176758,57.92473602294922,59.34468078613281,75,66.66667175292969,50,42.105262756347656,21.052631378173828,10.526315689086914,0,0,0,0,12.889300346374512,17179869184,2147483648,9099706368,494796800
199,1743380068494,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.21267318725586,59.09308624267578,66.68357849121094,66.20857238769531,62.71588897705078,61.756343841552734,58.64037322998047,59.49348831176758,57.92473602294922,59.34468078613281,15.000000953674316,10.526315689086914,55,42.105262756347656,20,9.523809432983398,0,0,0,0,12.889300346374512,17179869184,2147483648,9092005888,494796800
204,1743380068694,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.21267318725586,59.09308624267578,66.68357849121094,66.20857238769531,62.71588897705078,61.756343841552734,58.64037322998047,59.49348831176758,57.92473602294922,59.34468078613281,10.526315689086914,14.285715103149414,50,45.45454788208008,15.000000953674316,10,4.761904716491699,0,0,0,13.735231399536133,17179869184,2147483648,9092153344,494796800
200,1743380068899,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.21267318725586,59.09308624267578,66.68357849121094,66.20857238769531,62.71588897705078,61.756343841552734,58.64037322998047,59.49348831176758,57.92473602294922,59.34468078613281,9.523809432983398,5.263157844543457,50,47.36842346191406,19.047618865966797,4.761904716491699,0,0,0,4.545454502105713,13.735231399536133,17179869184,2147483648,9092153344,494796800
200,1743380069100,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.21267318725586,59.09308624267578,66.68357849121094,66.20857238769531,62.71588897705078,61.756343841552734,58.64037322998047,59.49348831176758,57.92473602294922,59.34468078613281,5.263157844543457,10,47.619049072265625,38.095237731933594,26.3157901763916,5.263157844543457,0,0,0,0,13.735231399536133,17179869184,2147483648,9092169728,494796800
199,1743380069301,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.89747619628906,59.05148696899414,66.33584594726563,66.30091857910156,62.727684020996094,62.36923599243164,58.46434020996094,59.539127349853516,58.088748931884766,59.57073974609375,10,5.263157844543457,47.36842346191406,47.36842346191406,19.047618865966797,0,0,0,0,0,13.735231399536133,17179869184,2147483648,9092169728,494796800
200,1743380069501,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.89747619628906,59.05148696899414,66.33584594726563,66.30091857910156,62.727684020996094,62.36923599243164,58.46434020996094,59.539127349853516,58.088748931884766,59.57073974609375,10.526315689086914,10,55,42.85714340209961,15.789472579956055,5,0,0,0,0,13.735231399536133,17179869184,2147483648,9092136960,494796800
