Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743127107613,4342.218246459961,3600,1,1.11875,273.2924346923828,3600,1,1.11875,4248.426818847656,3600,1,1.11875,810.3286743164063,3750,0,1.11875,255.2879180908203,3000,1,1.16875,6819.486297607422,3750,0,1.16875,14548.441802978516,3599,3600,3133,3713,3450,550,550,3666,3427,3749,3611,3164,6.25,0,0,6.45161247253418,3.22580623626709,6.6666669845581055,6.45161247253418,0,0,3.22580623626709,0,3.22580623626709,33574961152,17179865088,4105154560,0
199,1743127107613,4342.218322753906,3750,0,1.16875,273.2924346923828,3750,0,1.16875,4248.426818847656,3000,1,1.16875,810.3286743164063,3750,0,1.16875,255.28793334960938,3000,1,1.16875,6819.48713684082,3750,0,1.16875,14548.469345092773,3599,3600,3133,3713,3450,550,550,3666,3427,3749,3611,3164,6.25,0,0,6.45161247253418,3.22580623626709,6.6666669845581055,6.45161247253418,0,0,3.22580623626709,0,3.22580623626709,33574961152,17179865088,4105154560,0
199,1743127107814,4342.235214233398,3600,1,1.15625,273.3109588623047,3600,1,1.15625,4248.4327392578125,3600,1,1.075,810.3820953369141,3750,0,1.075,255.3026123046875,3000,1,1.075,6819.533798217773,3750,0,1.075,14552.603805541992,3599,3600,3133,3713,3450,550,550,3666,3427,3749,3611,3164,5,0,0,0,4.761904716491699,0,0,0,0,0,0,0,33574961152,17179865088,4105347072,0
199,1743127108014,4342.241271972656,3600,1,1.0875,273.31964111328125,3600,1,1.0875,4248.433380126953,3600,1,1.0875,810.4022216796875,3750,0,1.0875,255.3030548095703,3000,1,1.0875,6819.542861938477,3000,1,1.0875,14555.901824951172,3599,3600,3133,3713,3450,550,550,3666,3427,3749,3611,3164,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,33574961152,17179865088,4105338880,0
199,1743127108214,4342.358016967773,3750,0,1.16875,273.41883850097656,3750,0,1.16875,4248.535003662109,3750,0,1.16875,810.5070648193359,3750,0,1.16875,255.41064453125,3750,0,1.16875,6819.640808105469,3750,0,1.16875,14559.805938720703,3599,3600,3133,3713,3450,550,550,3666,3427,3749,3611,3164,10,5.263157844543457,5.263157844543457,9.523809432983398,0,10,9.523809432983398,5.263157844543457,5.263157844543457,5,10,10,33574961152,17179865088,4114796544,0
199,1743127108414,4342.399841308594,3750,0,1.16875,273.46705627441406,3750,0,1.16875,4248.599426269531,3750,0,1.16875,810.5492248535156,3750,0,1.16875,255.4501190185547,3750,0,1.16875,6819.67431640625,3750,0,1.16875,14564.12873840332,3599,3600,3133,3713,3450,550,550,3666,3427,3749,3611,3164,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,33574961152,17179865088,4114776064,0
199,1743127108614,4342.480941772461,3750,0,1.1625,273.546630859375,3750,0,1.1625,4248.714859008789,3750,0,1.1625,810.6322937011719,3750,0,1.1625,255.56405639648438,3750,0,1.1625,6819.736740112305,3750,0,1.1625,14568.719650268555,3599,3600,3133,3713,3450,550,550,3666,3427,3749,3611,3164,0,9.090909004211426,4.761904716491699,5,9.523809432983398,5,5,0,9.090909004211426,0,0,5,33574961152,17179865088,4124864512,0
199,1743127108814,4342.568939208984,3600,1,1.16875,273.6387481689453,3600,1,1.16875,4248.855484008789,3600,1,1.16875,810.7794342041016,3750,0,1.16875,255.66006469726563,3000,1,1.16875,6820.24690246582,3750,0,1.16875,14573.838317871094,3599,3600,3133,3713,3450,550,550,3666,3427,3749,3611,3164,0,0,5,0,10,5.263157844543457,0,52.6315803527832,0,5,4.761904716491699,0,33574961152,17179865088,4130627584,0
199,1743127109014,4342.59342956543,3600,1,1.15625,273.67787170410156,3600,1,1.15625,4248.882247924805,3600,1,1.15625,810.8294982910156,3750,0,1.15625,255.7123565673828,3000,1,1.15625,6821.211029052734,3750,0,1.15625,14579.029037475586,3599,3600,3133,3713,3450,550,550,3666,3427,3749,3611,3164,0,0,0,0,0,0,0,100,0,0,0,4.761904716491699,33574961152,17179865088,4130627584,0
199,1743127109214,4343.387878417969,3750,0,1.1375,273.6787109375,3000,1,1.1375,4248.882263183594,3000,1,1.1375,810.8831329345703,3750,0,1.1375,255.7524871826172,3000,1,1.1375,6821.381698608398,3000,1,1.1375,14584.165115356445,3599,3600,3133,3713,3450,550,550,3666,3427,3749,3611,3164,90,0,0,0,0,0,0,10,0,0,0,0,33574961152,17179865088,4150980608,0
