Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743127323299,4522.738220214844,3750,0,1.075,307.07513427734375,3750,0,1.16875,4528.134231567383,3750,0,1.16875,883.5260467529297,3750,0,1.16875,290.84571838378906,3000,1,1.16875,7174.972152709961,3000,1,1.16875,19821.364349365234,3750,3746,3227,3749,3749,3551,3325,3743,3751,3307,3748,3231,6.25,3.125,3.22580623626709,6.25,3.22580623626709,3.3333334922790527,3.22580623626709,3.3333334922790527,6.45161247253418,3.125,3.22580623626709,0,33574961152,17179865088,4263301120,0
199,1743127323299,4522.738220214844,3750,0,1.16875,307.07513427734375,3750,0,1.16875,4528.134292602539,3750,0,1.16875,883.5273742675781,3750,0,1.16875,290.8457489013672,3000,1,1.16875,7174.97216796875,3000,1,1.16875,19821.394653320313,3750,3746,3227,3749,3749,3551,3325,3743,3751,3307,3748,3231,6.25,3.125,3.22580623626709,6.25,3.22580623626709,3.3333334922790527,3.22580623626709,3.3333334922790527,6.45161247253418,3.125,3.22580623626709,0,33574961152,17179865088,4263301120,0
199,1743127323499,4522.749908447266,3600,1,1.075,307.0792541503906,3000,1,1.075,4528.13542175293,3000,1,1.075,883.5730895996094,3750,0,1.075,290.86920166015625,3750,0,1.075,7174.9757080078125,3000,1,1.075,19825.61343383789,3750,3746,3227,3749,3749,3551,3325,3743,3751,3307,3748,3231,0,0,0,0,4.761904716491699,0,0,0,4.761904716491699,0,0,4.761904716491699,33574961152,17179865088,4263292928,0
199,1743127323699,4522.757705688477,3750,0,1.075,307.0834503173828,3000,1,1.075,4528.136001586914,3000,1,1.075,883.6225128173828,3750,0,1.075,290.8914794921875,3000,1,1.075,7174.978424072266,3000,1,1.075,19829.843841552734,3750,3746,3227,3749,3749,3551,3325,3743,3751,3307,3748,3231,0,0,0,0,0,0,0,0,0,0,0,0,33574961152,17179865088,4263276544,0
199,1743127323899,4522.872711181641,3750,0,1.0875,307.1862030029297,3000,1,1.0875,4528.248275756836,3000,1,1.0875,883.7454223632813,3750,0,1.0875,290.9980773925781,3000,1,1.0875,7175.089080810547,3000,1,1.0875,19834.812591552734,3750,3746,3227,3749,3749,3551,3325,3743,3751,3307,3748,3231,5,10,10,5,5,10,9.523809432983398,5,10,5,14.285715103149414,5,33574961152,17179865088,4258476032,0
199,1743127324099,4522.907928466797,3750,0,1.16875,307.21861267089844,3000,1,1.16875,4528.27880859375,3750,0,1.16875,883.8191070556641,3750,0,1.16875,291.04783630371094,3750,0,1.16875,7175.145324707031,3750,0,1.16875,19839.308715820313,3750,3746,3227,3749,3749,3551,3325,3743,3751,3307,3748,3231,0,0,0,0,0,5.263157844543457,0,0,0,0,0,0,33574961152,17179865088,4258463744,0
199,1743127324299,4523.0037841796875,3750,0,1.0875,307.3009490966797,3750,0,1.0875,4528.379455566406,3750,0,1.0875,883.9356079101563,3750,0,1.0875,291.1678771972656,3750,0,1.0875,7175.32209777832,3750,0,1.0875,19844.355560302734,3750,3746,3227,3749,3749,3551,3325,3743,3751,3307,3748,3231,5,0,0,22.72727394104004,0,0,0,9.523809432983398,5,9.523809432983398,5,5.263157844543457,33574961152,17179865088,4263145472,0
199,1743127324499,4523.082855224609,3000,1,1.13125,307.36903381347656,3000,1,1.13125,4529.098068237305,3750,0,1.13125,884.04150390625,3600,1,1.13125,291.2304992675781,3600,1,1.13125,7175.387115478516,3600,1,1.13125,19849.802795410156,3750,3746,3227,3749,3749,3551,3325,3743,3751,3307,3748,3231,5,0,0,0,71.42857360839844,10,0,0,0,0,0,0,33574961152,17179865088,4274618368,0
199,1743127324699,4523.36051940918,3750,0,1.1375,307.3977508544922,3000,1,1.1375,4529.826751708984,3000,1,1.1375,884.0917358398438,3600,1,1.1375,291.26316833496094,3600,1,1.1375,7175.413436889648,3000,1,1.1375,19855.190475463867,3750,3746,3227,3749,3749,3551,3325,3743,3751,3307,3748,3231,25,0,0,0,75,0,0,0,0,0,0,0,33574961152,17179865088,4280745984,0
199,1743127324899,4524.279357910156,3750,0,1.14375,307.4071044921875,3000,1,1.14375,4529.896148681641,3000,1,1.14375,884.1444702148438,3600,1,1.14375,291.2683868408203,3600,1,1.14375,7175.420654296875,3600,1,1.14375,19860.50180053711,3750,3746,3227,3749,3749,3551,3325,3743,3751,3307,3748,3231,25,0,0,0,75,0,0,0,0,0,0,0,33574961152,17179865088,4272488448,0
